id,GSM2811029_H7-Tub-DN1101,GSM2810966_H5-Tub-SLE301,GSM2810941_H4-Tub-IgA1,GSM2810934_H3-Tub-MCD11,GSM2810914_H2-Tub-HT1,GSM2810894_H1-Tub-DN1
3514_at,12.31524137,12.89647935,10.00686943,9.806912824,12.38603064,9.927514998
4495_at,13.15088516,12.8574882,13.69581068,13.55044536,13.96357581,13.83897595
7369_at,10.38023185,14.18024516,12.27156943,13.59233433,13.57319417,13.06475404
2537_at,7.690890362,8.982335393,7.281334015,8.073469894,7.50989073,7.890477598
4502_at,12.66844471,12.57294309,13.14188376,13.25171178,13.14963481,13.14256872
23521_at,13.75741857,13.62192406,13.66072638,13.61088493,13.656546,13.64048335
6205_at,13.66908914,13.63536682,13.55097472,13.51325788,13.50278224,13.51392969
2878_at,13.71361759,12.83656314,13.93067027,13.52716196,13.31618356,13.69242549
6168_at,13.79798684,13.74251274,13.63336691,13.52863735,13.62120549,13.64559246
9027_at,13.5229902,13.51690524,13.24904676,13.47112768,12.6926524,13.21388647
2512_at,13.68390798,13.50521599,13.58861974,13.76114682,13.003734,13.5643068
4057_at,9.939164246,6.516204786,6.450517993,8.138488636,9.293753779,6.86770226
2597_at,13.55522292,13.34828035,13.4377181,13.64327775,13.3689591,13.6106858
7314_at,13.50534956,13.38154703,13.47971502,13.51631802,13.52012533,13.49824624
6229_at,13.09373424,13.12156781,12.82867187,12.78251753,12.79076083,13.03649363
6223_at,12.98817589,12.92852776,12.61685921,12.78117947,12.91161712,12.57504807
6218_at,13.18655947,13.06425361,13.31903339,12.62104169,12.6573961,13.15270875
6217_at,12.98801451,12.76343583,12.96594886,12.70263468,12.85117096,12.90033479
6696_at,12.80640264,12.60416498,12.60028426,12.55415433,12.785105,12.27367762
567_at,12.7063529,12.72417053,12.60266908,12.82187783,12.83421962,12.510902
5105_at,12.26401968,11.8180906,12.51364846,11.80809229,11.41419889,12.20395795
229_at,13.15520444,12.58811242,13.41462954,12.79344801,12.34826124,13.15919104
635_at,12.74931769,12.90578606,13.36983804,12.47008119,12.76815691,12.84847522
3945_at,13.25576107,13.14061492,13.32345239,13.1846617,13.34309031,13.11495565
9168_at,12.07259853,10.95800113,10.71141955,11.52005624,11.71128048,11.00504816
10158_at,12.77993281,12.50771883,13.1449794,12.9867813,12.2077539,12.94748623
3105_at,11.74007842,12.29928462,12.10753339,12.64044966,12.29163059,12.2588984
4494_at,11.47751864,11.69369876,12.26772294,12.15670792,12.17745249,12.31346623
6125_at,12.65731543,12.56702563,12.96080139,12.33842087,12.46364885,12.49823302
445_at,12.67251486,11.61658886,12.97087742,12.23845903,10.87813098,12.68681038
3043_at,9.555333333,9.405655276,10.28991014,6.863956671,6.719893963,8.746967686
6194_at,12.77062303,12.93766374,12.79636786,12.54407467,12.73418992,12.83325032
1512_at,12.27527455,11.49725146,11.73577934,12.39716301,11.8788516,12.12829553
805_at,12.7107697,12.61814876,12.51380667,12.73881794,12.53980871,12.54451174
6519_at,12.82112464,12.79622871,12.63845271,12.71580125,12.32145419,12.7891729
6192_at,12.08125271,6.176973671,10.89555797,10.66865707,10.2771856,11.05989693
9349_at,12.6572482,12.46447754,12.4206207,12.30576765,12.30433151,12.41461199
6156_at,12.55864919,12.54927857,12.66875666,12.5347886,12.26469875,12.55075967
1672_at,11.23210763,12.86529911,12.23361321,11.83123471,11.69780602,12.34713468
2938_at,12.43539697,11.78373744,12.66212817,11.23039558,10.66535706,12.2127333
1410_at,11.29873853,11.68055767,10.59646717,11.79066368,11.4635261,12.26770138
3106_at,11.61065473,11.63639217,10.99919731,11.78501402,12.6398426,10.8747004
6188_at,12.21827379,12.15821627,11.94771432,11.94705948,11.85934452,11.97817176
10406_at,9.845230391,9.205273056,8.317570072,9.169992248,11.76737845,8.927628629
4501_at,10.46336415,10.80818808,11.9200881,11.86677956,11.59573696,11.91490062
6727_at,12.57321557,12.3560529,12.51828009,12.43626492,12.5732399,12.47308073
2628_at,12.39370201,12.17256089,12.7427172,11.95062965,11.2422419,12.40401202
6132_at,12.46491173,12.44706702,12.49601782,12.39660522,12.26626145,12.28406551
6169_at,12.23104729,12.2896664,12.20406899,12.17681035,12.18604634,12.33825003
71_at,12.24465412,11.83845817,11.61057487,12.07339548,12.47999116,11.93950888
9056_at,12.24564623,10.54007247,12.55606788,11.48052147,10.62211232,11.95373432
9547_at,12.4669023,11.39656908,12.19430528,12.19479188,11.06852228,12.34566056
10399_at,12.40025199,12.40490126,12.34058859,12.37036984,12.09142689,12.23490219
8802_at,12.30452448,11.76901338,12.58007768,12.47302012,11.6892545,12.40769658
6135_at,12.16171455,12.37254035,12.29485797,12.16807907,11.87274439,12.1622817
7178_at,12.36260161,12.37542929,12.45956292,12.19625715,12.03503246,12.14341123
6165_at,11.80530205,11.88297935,11.9101759,11.60927008,11.45929228,11.60268825
3107_at,11.8193593,11.9575288,11.67347314,12.26138804,12.23774438,11.50727818
8029_at,11.61117691,11.48865724,12.33357103,11.49533742,11.39663674,12.00722337
481_at,11.90766178,12.37159635,12.42913526,12.0604574,11.87630656,12.3046323
292_at,12.62646015,12.27458321,12.54097299,12.73595946,12.18699186,12.44517026
498_at,12.58332456,12.50520228,12.44650706,12.61682222,12.57590236,12.60428542
4316_at,10.45240975,8.847368377,8.515656744,9.457611567,10.49788431,8.845979876
4637_at,12.25050473,12.09823903,11.97931864,12.06133277,11.7648123,11.88117807
5053_at,12.44664369,10.83141622,12.73092513,11.73269953,10.7384587,12.27264514
9445_at,12.63159107,12.47655238,12.76038827,12.51175617,12.28108363,12.46030711
