symbol,WT1,p531,p53CAS1,p53RAS1,WT2,p532,p53CAS2,p53RAS2
Scel,0.0,0.00598,1.0,0.00064,0.0,0.00982,0.8794,0.00067
Il1r2,0.0,0.00693,0.91655,0.00456,0.0,0.01722,1.0,0.00396
Ptpn5,0.0,0.00181,1.0,0.00086,0.0,0.00063,0.81313,0.00031
Retnla,0.0,0.00382,0.88671,0.00063,0.0,0.00418,1.0,0.00117
Dlk1,0.0,0.01033,0.89833,0.00158,0.0,0.01183,1.0,0.00039
D330045A20Rik,0.0,0.01867,1.0,0.03608,0.0,0.03233,0.87678,0.01017
Hcrtr1,0.0,0.0,1.0,0.0,0.0,0.0,0.74039,0.0
Hemgn,0.0,0.00778,1.0,0.0026,0.0,0.004,0.98256,0.00201
Vgf,0.0,0.00318,0.95657,0.00028,0.0,0.00608,1.0,0.00105
2610318N02Rik,0.0,0.01333,1.0,0.00334,0.0,0.021,0.72591,0.0
Gpr82,0.0,0.01099,1.0,0.00345,0.0,0.02702,0.85721,0.00318
4933402N22Rik,0.0,0.00203,1.0,0.0,0.0,1e-05,0.92768,0.0
Tnfsf11,0.0,0.02042,0.89372,0.00575,0.0,0.02147,1.0,0.00226
Gpr3,0.0,0.0,1.0,0.00037,0.0,0.0,0.77484,0.00059
Cep55,0.0,0.06051,1.0,0.07812,0.0,0.10929,0.99209,0.02941
Klri1,0.0,0.00272,1.0,0.00451,0.0,0.01162,0.9736,0.00235
Scn1a,0.0,0.0,1.0,0.0,0.0,0.0,0.72887,0.0
Crtac1,0.0,0.00267,1.0,0.0,0.0,0.00266,0.81885,0.0
Cryaa,0.0,7e-05,0.96541,0.00109,0.0,0.00265,1.0,0.0
Pax3,0.0,0.0,1.0,0.0,0.0,0.0,0.88463,0.0
Car4,0.0,0.00047,1.0,0.0,0.0,0.02171,0.96085,0.0
2010005H15Rik,0.0,0.03321,0.91209,0.0,0.0,0.00701,1.0,0.00071
Fgf23,0.0,0.0,1.0,0.00169,0.0,0.0,0.91666,0.0
Gm6460,0.0,7e-05,1.0,0.0,0.0,0.00277,0.92538,0.0
AA467197,0.0,0.08952,0.88341,0.02295,0.0,0.10142,1.0,0.00921
Pdcd1,0.0,0.156,0.5989,0.08442,0.0,0.14087,1.0,0.02798
Tespa1,0.0,0.07594,1.0,0.01377,0.0,0.07833,0.73207,0.00645
Cpa2,0.0,0.00015,1.0,0.0,0.0,0.00572,0.93159,0.0
Six3,0.0,0.0,1.0,0.0,0.0,0.0,0.94632,0.0
Ptchd1,0.0,0.02262,1.0,0.02418,0.0,0.0287,0.79064,0.0
Fzd10,0.0,0.0,0.90394,0.0,0.0,0.0,1.0,0.0
Snph,0.0,0.0002,1.0,0.00155,0.0,0.00759,0.73304,0.0
Tac4,0.0,0.0,0.91339,0.00128,0.0,0.0,1.0,0.00196
Bean1,0.0,0.01168,0.93205,0.0,0.0,0.01168,1.0,0.0
Mdga2,0.0,0.0,1.0,0.00255,0.0,0.0,0.91826,0.0
Ckm,0.0,0.00452,0.88323,0.00331,0.0,0.01048,1.0,0.00104
Ifi202b,0.0,0.0,1.0,0.0,0.0,0.0,0.69582,0.0
Tnnt3,0.0,0.00485,1.0,0.01246,0.0,0.00918,0.65982,0.0
Dscam,0.0,0.01401,1.0,0.0,0.0,0.00493,0.79599,0.0025
Ccl12,0.0,0.13248,0.8303,0.20326,0.0,0.13427,1.0,0.04196
Mfsd6l,0.0,0.03056,1.0,0.04848,0.0,0.03295,0.60333,0.01521
Slc8a2,0.0,0.01042,0.92875,0.00644,0.0,6e-05,1.0,0.00275
Hoxc4,0.0,0.0116,1.0,0.0,0.0,0.00601,0.73561,0.0
Celf5,0.0,0.013,1.0,0.00457,0.0,0.03038,0.71418,0.00308
Myl10,0.0,0.00016,1.0,0.0,0.0,0.00608,0.96869,0.0
Sult3a1,0.0,0.00726,0.96179,0.00815,0.0,0.01374,1.0,0.01411
4922502D21Rik,0.0,0.00019,1.0,0.0,0.0,0.00694,0.66694,0.0
Fbxw10,0.0,0.10998,1.0,0.05795,0.0,0.14021,0.64725,0.01572
Negr1,0.0,0.74418,0.00672,0.10184,0.0,1.0,0.00726,0.02461
Vdr,0.0,0.00775,1.0,0.02539,0.0,0.02115,0.95482,0.01794
Hif3a,0.0,0.01301,1.0,0.01325,0.0,0.06611,0.58229,0.00364
Ddx43,0.0,0.1853,1.0,0.02943,0.0,0.28519,0.8968,0.01192
Ctsg,0.0,0.44464,0.15099,0.02734,0.0,1.0,0.14782,0.01605
Serpinb2,0.0,0.02559,1.0,0.03521,0.0,0.06385,0.75228,0.00789
Hoxc13,0.0,0.0,0.95249,0.0,0.0,0.0,1.0,0.0
Lrr1,0.0,0.06551,0.98444,0.02915,0.0,0.08864,1.0,0.00592
Dppa2,0.0,0.00022,0.90355,0.00336,0.0,0.00821,1.0,0.0
Kremen2,0.0,0.05665,1.0,0.02978,0.0,0.09326,0.95202,0.01278
Mcpt2,0.0,0.0,0.87564,0.0,0.0,0.0,1.0,0.0
Vmn2r26,0.0,0.0,1.0,0.0,0.0,0.0,0.81759,0.0
Sall3,0.0,0.03548,0.83177,0.0,0.0,0.01835,1.0,0.0047
