labels,wthp6,wthp6_min,wthp6_max,wtlp6,wtlp6_min,wtlp6_max,wthp5,wthp5_min,wthp5_max,wtlp5,wtlp5_min,wtlp5_max,wtal,wtal_min,wtal_max,wtfe,wtfe_min,wtfe_max,stop1hp6,stop1hp6_min,stop1hp6_max,stop1lp6,stop1lp6_min,stop1lp6_max,stop1hp5,stop1hp5_min,stop1hp5_max,stop1lp5,stop1lp5_min,stop1lp5_max,stop1al,stop1al_min,stop1al_max,s1fe,s1fe_min,s1fe_max,mse
0,0.2675311528820875,0.009010718102092889,0.6150810214530479,0.2827142405610907,0.016781333096099246,0.7682694552269207,0.30311360505920937,0.031850597901550336,0.7340448070104553,0.2945931117109619,0.012022797762591887,0.7438660911797529,0.27107540266348357,0,0.7331948324267991,0.2696149937331316,0.009455650007552321,0.7227235150121329,0.27156040947977605,0.010036249252599121,0.7096515619148724,0.31575412574270795,0.01951874348813065,0.7204353667385325,0.3219427018599327,0,0.6099757350366825,0.2944975397794397,0.016732591742374302,0.6269714044005934,0.286353140081492,0,0.6860655408808861,0.27900342943270573,0,0.7454151142637935,5.758589756504357
1,0.0498087584338902,0,0.4449411795865042,0.048197443087251,0,0.3117759828899277,0.05835426098528349,0,0.30037351977658905,0.06284704848540094,0,0.36352559177605603,0.1097616512894124,0,0.6874205147113477,0.15561048139932782,0,0.6720461033758804,0.08510409017356864,0,0.6187938837170829,0.04479429337954817,0,0.386931636370416,0.06458114780919096,0,0.30494411582175757,0.15533996126607624,0,0.49782427631413195,0.9218059985169651,0.5063267708977718,0.9980382597661023,0.2535786244255416,0,0.7288366957771151,3.088169956175012
2,0.22407572414734872,0.010139793883300378,0.5274534613437342,0.016210656312431685,0,0.3104533333604159,0.723800429778607,0.20768799017885764,0.9976437038217052,0.022876681372736216,0,0.4152234018583883,0.16217089681671434,0.003465584188431706,0.5881716657516612,0.008851985528544671,0,0.2977946647488007,0.568672638680817,0.0198980407769808,0.8868030264063345,0.03915951480871169,0,0.2651309764049565,0.2697685445758256,0.026052124742815968,0.625996203722211,0.0271119401859603,0,0.2979152346672934,0.009272385929934257,0,0.3299812042439633,0.014865486235040588,0,0.3461247124526994,3.0901930553062065
3,0.9059175496474186,0.4871498425268471,0.9273838317794959,0.18710913798488946,0,0.6785960465340074,0.1025998964478056,0.04057307019541602,0.5652177791450068,0.04552447575722911,0,0.42300794288431703,0.09874140786542955,0,0.3329044946120825,0.05121127669082655,0,0.2268891596266801,0.31127408247235094,0.1069284414915226,0.7726891198126483,0.05571142195348399,0.00030469213116815963,0.6596385140224368,0.0985274811736715,0.01083748869547258,0.40521540085523056,0.07691243424397738,0,0.3104116147602751,0.05900376085523719,0,0.1372684151347547,0.015229535575271578,0,0.20682277238939148,2.462256397964301
4,0.021179393996190902,0,0.347919726183845,0.004512973544196612,0,0.4744125813577393,0.020603391825889727,0,0.31387943494661585,0,0,0.34247752947693605,0.041827977432567824,0,0.529802820516529,0.8255481958606278,0.4481640016211851,0.9514083418746054,0.02892073405208442,0,0.4188224831087255,0.012078384394880654,0,0.43718894121920865,0.04622280033080216,0,0.3121917306243115,0.01941044740485591,0.0066808217390141615,0.3411590688212616,0.03921722678274094,0,0.5816915883307163,0.5574886217287905,0.07944246193899843,0.8488455405343379,2.6021045041316024
5,0.016220607948887415,0,0.4661187579174995,0.35933315346731287,0.21142378029755995,0.5605811542506492,0.01018809617612991,0,0.1976246986807789,0.05693937656897018,0,0.22241245816021685,0.09993516086066587,0.009440249570319297,0.37163804781860793,0.009350269804052153,0,0.1488666943234755,0.03706822368030741,0,0.4034746151915626,0.6845109936737654,0.4023502919117218,0.9285888956269344,0.03041119341927097,0,0.23579715909461554,0.24102732923609627,0.017161931865128734,0.3777077254139452,0.5727785325619847,0,0.7424203459475964,0.013138025452960864,0,0.18252485260620793,1.7908646235994359
6,0.02132854337506306,0,0.2726511156290718,0.02738008368723822,0,0.3283627683970699,0.041692397317699456,0,0.42716680021819087,0.10282754893126972,0,0.5036004380322523,0.9888619026971934,0.6524533505013174,0.9985270249527722,0.0929192082080632,0,0.633985781874395,0.0011050634298645078,0,0.4462964617744407,0.0006267304499052454,0,0.2606781826479356,0.000362472587151027,0,0.53343454850373,0.00022019961593778176,0,0.3480825803902063,0.00010555958325281253,0,0.6286769517440347,0.00012887291314274033,0,0.5390751325888578,2.498634829924673
7,0.013335193962403654,0,0.1928618037294878,0.034999820004958396,0,0.21099313036293202,0.02827559846793928,0,0.1527570567415275,0.08816115029136116,0.008808481670167078,0.28851512981989746,0.5329630432133178,0.00842589891203083,0.8105995447645077,0.031792522440014265,0,0.40675200490333346,0.044923348924446715,0,0.37416146819803525,0.02830412454640372,0,0.3522803339270918,0.04896968326576131,0.0036317601020575976,0.2801210758917905,0.5806567047079644,0.13165484872761268,0.7675617775599668,0.22750226597895,0.03610569475572789,0.5862353929651445,0.557519656178996,0.035558573749417476,0.7663369648977001,2.5738159990547884
8,0.012524983714812152,0.012524983714812152,0.4454711149313501,0.06854558617038947,0,0.4129122579030012,0.6136311237691199,0.19625316178593658,0.7328411005813746,0.5480751367235369,0.00255182730231991,0.7028679324713472,0.5112331389009374,0.0671883979915016,0.6768662260521229,0.03768944683756536,0.0049579192682399536,0.473493316764956,0.056923981331693976,0.0034664103019629885,0.2984511996458772,0.0239536376799935,0,0.1796957450456632,0.22124721060471056,0,0.5181181910210124,0.017905178241976804,0,0.4201359064753359,0.04615794935502483,0,0.2367872121216866,0.01482237591412114,0.0010968643984693976,0.24477986583095163,2.407257436737929
9,0.12747485458572475,0.03399956713972446,0.45623409606667187,0.13537064579504957,0,0.2232848832668158,0.01882770159576914,0.015051561365708227,0.21863371669302617,0.03779708712621011,0,0.21860313452650662,0.13164443138121046,0,0.44394149201502375,0.12694406939315334,0,0.4586662308201755,0.7911797551587838,0.40713864916969905,0.969760528659899,0.17899252609520044,0,0.405280248803699,0.04091020129962309,0.04091020129962309,0.3403742123566976,0.019733680044538397,0,0.36713234598122235,0.0638949717271403,0,0.19227264275467523,0.5157978625522366,0,0.6721700129954614,1.9188715287912055
