labels,hp6_1,hp6_1_min,hp6_1_max,hp6_2,hp6_2_min,hp6_2_max,lp6_1,lp6_1_min,lp6_1_max,lp6_2,lp6_2_min,lp6_2_max,hp5_1,hp5_1_min,hp5_1_max,hp5_2,hp5_2_min,hp5_2_max,lp5_1,lp5_1_min,lp5_1_max,lp5_2,lp5_2_min,lp5_2_max,al_1,al_1_min,al_1_max,al_2,al_2_min,al_2_max,fe_1,fe_1_min,fe_1_max,fe_2,fe_2_min,fe_2_max,mse
0,0.8341672938094453,0.03505807869725647,1,0.793174012226056,0.14715215644938617,1,0.802065235786912,0.15485653500102675,1,0.9176319154166115,0.11777783409347668,1,0.8558062580160007,0.2526355345582859,1,0.9879763617658082,0.2413433610263473,1,0.8240308851638735,0.10943365761320743,1,0.9679231882074356,0.1652740942528813,1,0.8566072738322281,0.016271156661880802,1,0.7922930319909175,0.0015642332063449055,1,0.8205214050596522,0.08361836376416443,1,0.819495509986523,0.04433174535951994,1,9.492688603950983
1,0.6067627103118047,0.009489796942590804,1,0.7944453724831715,0.029675175082579,1,0.5090831377702529,0,1,0.336518049483054,0,1,0.4035150902195375,0,1,0.29970916349319016,0.013206493479694758,1,0.4194956883151532,0,1,0.21634197246948966,0,1,0.16582107955615186,0,1,0.6019133161647044,0,1,0.6890959983435756,0,1,0.4578371970233938,0,1,11.896402152722494
2,0.053641900410343536,0,1,0.03822275300113389,0,1,0.02939191494126613,0,0.8799213853055243,0.05950091322280885,0,1,0.06523144261801304,0,1,0.04239408608515808,0,1,0.021192135615226856,0,0.7647914517502066,0.09471965396910056,0,1,0.03350788015162092,0,1,0.16893073447388698,0,1,0.21583339453305003,0,1,0.0711663900513399,0,1,11.359167608988182
3,0.20406747909952722,0.01488347361224251,0.827321769709243,0.18953325042624494,0,0.8119917563514066,0.7647073080421439,0.10337660905870916,1,0.22635665936508056,0.01972279419235402,1,0.14974994732434227,0.010002137666547093,0.8460259400308607,0.7118473828420278,0.07893838520675431,1,0.7978628953638242,0.14705329501785766,1,0.8831619873977452,0.1676693706871598,1,1,0.2942740957668187,1,0.8748980741428283,0.14844420726693247,1,0.12147313353303565,0.010870657819906685,1,0.6404285711957375,0.08246319974797316,1,9.09529311257551
4,0.4600982329350798,0,1,0.04589828006701176,0,0.8402915861805291,1,0,1,0.15310567827728125,0,1,0.14686986710485897,0,0.7755801266113767,0.3272609571253784,0.02171412325472337,1,0.21206447722624694,0,0.827765309126602,0.08749257445624134,0,0.8279032950128385,0.9053237565948684,0,1,0.24342454200888075,0,0.9806907152993448,0.25081450450605614,0,0.8024722428156207,0.12818601398849971,0,0.6636614329932532,9.68143948933269
5,0.17529039256673534,0.025267083660378713,1,0.13114907257383004,0.04509072807552468,1,0.3081493997165714,0.07512513543335135,1,0.7777456344583779,0.09024712676601569,1,0.9792155434830327,0.08818004451410892,1,0.55413965149704,0.10207835699548287,1,0.7271399125427004,0.0601704031896378,1,1,0.2017733658874379,1,0.1437143794242434,0,0.8973385642303107,0.695557718481035,0,1,0.23889122937365276,0,1,0.2441845572110407,0.01695764854597269,1,10.474712883520743
6,0.0004247450995055109,0,0.5971116715130225,0.026694068458754133,0,0.8160386716570897,0.020363862524847058,0,0.6379376475202493,0.42590847527159,0,1,0.0031636417390211577,0,0.7178110690028998,1,0.03435901171028353,1,0.008222332319783657,0,0.583385989967566,0.9005832673649401,0,1,0.5576378305278361,0.0233567033489283,1,0.02434469166145477,0,0.6623955442091233,0.04669437617642543,0,0.8139997445605804,0.034712018527430555,0,0.6934902599301469,7.753604677003523
7,0.021068151651849595,0,0.9452780932639026,0.013706788253415087,0,0.6364000722260663,0.01893300705883288,0,0.5259665531276805,0.00982188441907642,0,0.6847327319133264,0.060754693224458554,0,0.7919666610308392,0.043677426464130656,0,0.6360621632673432,0.09541670143097074,0,0.7710989571727519,0.06561096409776572,0,1,1,0.17097489343443897,1,0.9423406711966877,0.08962706845215287,1,0.8444478321232431,0,1,0.37316598993036154,0,1,8.186496825985117
8,0.14852281476539503,0.008121898284240182,0.5025644198601467,0.22224411804324046,0,0.9492752646573385,0,0,0.7359863185475192,0.9060983463500741,0.03889447079196408,1,0.1580352809686394,0,0.7630566157348184,0.3521401521813155,0,1,0,0,0.5712942020087243,0.282431936168389,0.031157650839752894,1,0.48707436481378935,0,1,0.09822385673202234,0,0.7683919048261743,0.06747051263036305,0.021137793360345106,0.9866601791235763,1,0,1,8.980944193000113
9,0.9857994386864392,0.2104517709692678,1,0.6300099086222559,0.05137803384286562,1,0.10572595426832239,0,0.7077115395895581,0.06502236722620836,0,0.92996857248307,0.5220913686237176,0.11540190301479653,1,0.571623331340871,0.10039072571989163,1,0,0,0.8943314012806862,0.939993801186157,0.05988948370935296,1,0.692724369789576,0.11279620396888596,1,0.6814402128871709,0.13916083648744515,1,0.04586585560004628,0,0.7268433461829605,0.09833904602185897,0,0.6303152117762472,8.618187444649376
