symbol,low_log2fold,low_cpm
Scel,0,0
Il1r2,0,0
Ptpn5,0,0
Retnla,0,0
Dlk1,0,0
D330045A20Rik,0,0
Hcrtr1,0,0
Hemgn,0,0
Vgf,0,0
2610318N02Rik,0,0
Gpr82,0,0
4933402N22Rik,0,0
Tnfsf11,0,0
Gpr3,0,0
Cep55,0,0
Klri1,0,0
Scn1a,0,0
Crtac1,0,0
Cryaa,0,0
Pax3,0,0
Car4,0,0
2010005H15Rik,0,0
Fgf23,0,0
Gm6460,0,0
AA467197,0,0
Pdcd1,0,0
Tespa1,0,0
Cpa2,0,0
Six3,0,0
Ptchd1,0,0
Fzd10,0,0
Snph,0,0
Tac4,0,0
Bean1,0,0
Mdga2,0,0
Ckm,0,0
Ifi202b,0,0
Tnnt3,0,0
Dscam,0,0
Ccl12,0,0
Mfsd6l,0,0
Slc8a2,0,0
Hoxc4,0,0
Celf5,0,0
Myl10,0,0
Sult3a1,0,0
4922502D21Rik,0,0
Fbxw10,0,0
Negr1,0,0
Vdr,0,0
Hif3a,0,0
Ddx43,0,0
Ctsg,0,0
Serpinb2,0,0
Hoxc13,0,0
Lrr1,0,0
Dppa2,0,0
Kremen2,0,0
Mcpt2,0,0
Vmn2r26,0,0
Sall3,0,0
Car12,0,0
Trp63,0,0
Gbx2,0,0
Rln3,0,0
Sult2a5,0,0
Scn11a,0,0
Cpne5,0,0
1500009L16Rik,0,0
Gzmk,0,0
Begain,0,0
Atf7ip2,0,0
Bmp15,0,0
Tigit,0,0
Trim63,0,0
Kpna7,0,0
Aqp3,0,0
Tgm6,0,0
Nkx3-2,0,0
Dpp6,0,0
Mybpc3,0,0
E330021D16Rik,0,0
Popdc3,0,0
Accsl,0,0
Gdap1,0,0
Fbxo27,0,0
Defb42,0,0
Glrp1,0,0
Lgals7,0,0
Abca13,0,0
Wdr95,0,0
Liph,0,0
Ms4a3,0,0
Cxcl2,0,0
Shc3,0,0
Cntnap2,0,0
Gdf3,0,0
Klhl32,0,0
Foxr1,0,0
Gpr176,0,0
Tdgf1,0,0
Fbxo48,0,0
Lhx8,0,0
