publish_time,url,has_pdf_parse,sha,pmcid,pubmed_id,has_pmc_xml_parse,authors,journal,title,abstract,Microsoft Academic Paper ID,full_text_file,category,source_x,license,WHO #Covidence,term,doi
2020-04-17,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144905/,True,28776e324c2128443197d2c9bc2a9eaa77ed1bf5,PMC7144905,32103255,True,"Rolando, Justin C; Jue, Erik; Barlow, Jacob T; Ismagilov, Rustem F",Nucleic Acids Res,Real-time kinetics and high-resolution melt curves in single-molecule digital LAMP to differentiate and study specific and non-specific amplification,"Isothermal amplification assays, such as loop-mediated isothermal amplification (LAMP), show great utility for the development of rapid diagnostics for infectious diseases because they have high sensitivity, pathogen-specificity and potential for implementation at the point of care. However, elimination of non-specific amplification remains a key challenge for the optimization of LAMP assays. Here, using chlamydia DNA as a clinically relevant target and high-throughput sequencing as an analytical tool, we investigate a potential mechanism of non-specific amplification. We then develop a real-time digital LAMP (dLAMP) with high-resolution melting temperature (HRM) analysis and use this single-molecule approach to analyze approximately 1.2 million amplification events. We show that single-molecule HRM provides insight into specific and non-specific amplification in LAMP that are difficult to deduce from bulk measurements. We use real-time dLAMP with HRM to evaluate differences between polymerase enzymes, the impact of assay parameters (e.g. time, rate or florescence intensity), and the effect background human DNA. By differentiating true and false positives, HRM enables determination of the optimal assay and analysis parameters that leads to the lowest limit of detection (LOD) in a digital isothermal amplification assay.",,comm_use_subset,ORG|ORG|CARDINAL|ORG|ORG|ORG|ORG|ORG,PMC,cc-by,,LAMP|HRM|1.2 million|HRM|LAMP|HRM|HRM|LOD,10.1093/nar/gkaa099
2020-04-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104685/,True,848ad232f5b4516e65480b8dd437d159aed788f0,PMC7104685,,True,,Osong Public Health Res Perspect,"Coronavirus Disease-19: The First 7,755 Cases in the Republic of Korea","We report the first 7,755 patients with confirmed COVID-19 in Korea as of March 12(th), 2020. A total of 66 deaths have been recorded, giving a case fatality proportion of 0.9%. Older people, and those with comorbidities were at a higher risk of a fatal outcome. The highest number of cases of COVID-19 were in Daegu, followed by Gyeongbuk. This summary may help to understand the disease dynamics in the early phase of the COVID-19 outbreaks, and may therefore, guide future public health measures.",,noncomm_use_subset,ORDINAL|CARDINAL|GPE|DATE|DATE|CARDINAL|PERCENT|ORG|ORG|GPE|ORG|PERSON|GPE,PMC,cc-by-nc-nd,,"first|7,755|Korea|March 12(th|2020|66|0.9%|COVID-19|Daegu|Gyeongbuk|COVID-19|Coronavirus|the Republic of Korea",10.24171/j.phrp.2020.11.2.05
2020-04-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104686/,True,e9eb97b0610b3fcbcd8b42eaeeeb5af2f7f15b07,PMC7104686,,True,,Osong Public Health Res Perspect,"Coronavirus Disease-19: Summary of 2,370 Contact Investigations of the First 30 Cases in the Republic of Korea","Between January 24(th) and March 10(th), a total of 2,370 individuals had contact with the first 30 cases of COVID-19. There were 13 individuals who contracted COVID-19 resulting in a secondary attack rate of 0.55% (95% CI 0.31–0.96). There were 119 household contacts, of which 9 individuals developed COVID-19 resulting in a secondary attack rate of 7.56% (95% CI 3.7–14.26).",,noncomm_use_subset,DATE|CARDINAL|ORDINAL|CARDINAL|ORG|CARDINAL|ORDINAL|PERCENT|PERCENT|GPE|GPE|CARDINAL|CARDINAL|PERCENT|PERCENT|GPE|PERSON|CARDINAL|ORG|GPE,PMC,cc-by-nc-nd,,"Between January 24(th) and March 10(th|2,370|first|30|COVID-19|13|secondary|0.55%|95%|CI|0.31–0.96|119|9|7.56%|95%|CI|Coronavirus|2,370|Contact Investigations of the First 30 Cases|the Republic of Korea",10.24171/j.phrp.2020.11.2.04
2020-04-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104687/,True,3b0d3ef843f6e99bc6257a3af5b65a8cbbd60d3b,PMC7104687,,True,"Kim, Inho; Lee, Jia; Lee, Jihee; Shin, Eensuk; Chu, Chaeshin; Lee, Seon Kui",Osong Public Health Res Perspect,KCDC Risk Assessments on the Initial Phase of the COVID-19 Outbreak in Korea,"OBJECTIVES: This study aims to evaluate the risk assessments of coronavirus 2019 (COVID-19) in the Korea Centers for Disease Control and Prevention (KCDC), from the point of detection to the provision of basic information to the relevant public health authorities. METHODS: To estimate the overall risk of specific public health events, probability, and impact at the country-level were evaluated using available information. To determine the probability of particular public health events, the risk of importation and risk of transmission were taken into consideration. KCDC used 5 levels (“very low,” “low,” “moderate,” “high,” and “very high”) for each category and overall risk was eventually decided. RESULTS: A total of 8 risk assessments were performed on 8 separate occasions between January 8(th) to February 28(th), 2020, depending on the detection and report of COVID-19 cases in other countries. The overall risk of the situation in each assessment increased in severity over this period: “low” (first), “moderate” (second), “high” (third), “high” (fourth), “high” (fifth), “high” (sixth), “high” (seventh), and “very high” (eighth). CONCLUSION: The KCDC’s 8 risk assessments were utilized to activate national emergency response mechanisms and eventually prepare for the pandemic to ensure the containment and mitigation of COVID-19 with non-pharmaceutical public health measures.",,noncomm_use_subset,DATE|ORG|ORG|ORG|ORG|CARDINAL|CARDINAL|CARDINAL|DATE|ORDINAL|ORDINAL|ORDINAL|ORDINAL|ORDINAL|ORDINAL|ORDINAL|ORDINAL|ORG|CARDINAL|ORG|ORG|ORG|GPE,PMC,cc-by-nc-nd,,"2019|COVID-19|the Korea Centers for Disease Control and Prevention|KCDC|KCDC|5|8|8|between January 8(th) to February 28(th), 2020|first|second|third|fourth|fifth|sixth|seventh|eighth|KCDC|8|COVID-19|KCDC|the Initial Phase of the COVID-19 Outbreak|Korea",10.24171/j.phrp.2020.11.2.02
2020-04-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104688/,True,dfda022f96d32ed5784eea25e3fa9a068eeb4033,PMC7104688,,True,"Cho, Hae-Wol",Osong Public Health Res Perspect,A Long Journey Back to Normal Life,,,noncomm_use_subset,ORG,PMC,cc-by-nc-nd,,Normal Life,10.24171/j.phrp.2020.11.2.01
2020-04-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7104689/,True,08a6e7924103b4a001ff84d7db7dcd5560950fa1,PMC7104689,,True,"Khafaie, Morteza Abdullatif; Rahim, Fakher",Osong Public Health Res Perspect,Cross-Country Comparison of Case Fatality Rates of COVID-19/SARS-COV-2,"OBJECTIVES: Case fatality rates (CFR) and recovery rates are important readouts during epidemics and pandemics. In this article, an international analysis was performed on the ongoing coronavirus disease 2019 (COVID-19) pandemic. METHODS: Data were retrieved from accurate databases according to the user’s guide of data sources for patient registries, CFR and recovery rates were calculated for each country. A comparison of CFR between countries with total cases ≥ 1,000 was observed for 12(th) and 23(rd) March. RESULTS: Italy’s CFR was the highest of all countries studied for both time points (12(th) March, 6.22% versus 23(rd) March, 9.26%). The data showed that even though Italy was the only European country reported on 12(rd) March, Spain and France had the highest CFR of 6.16 and 4.21%, respectively, on 23(rd) March, which was strikingly higher than the overall CFR of 3.61%. CONCLUSION: Obtaining detailed and accurate medical history from COVID-19 patients, and analyzing CFR alongside the recovery rate, may enable the identification of the highest risk areas so that efficient medical care may be provided. This may lead to the development of point-of-care tools to help clinicians in stratifying patients based on possible requirements in the level of care, to increase the probabilities of survival from COVID-19 disease.",,noncomm_use_subset,DATE|ORG|ORG|ORG|DATE|GPE|ORG|CARDINAL|DATE|PERCENT|CARDINAL|DATE|PERCENT|GPE|NORP|DATE|GPE|GPE|ORG|CARDINAL|PERCENT|DATE|ORG|PERCENT|CARDINAL|ORG|CARDINAL|ORG,PMC,cc-by-nc-nd,,2019|COVID-19|CFR|CFR|23(rd) March|Italy|CFR|12(th|March|6.22%|23(rd|March|9.26%|Italy|European|12(rd) March|Spain|France|CFR|6.16|4.21%|23(rd) March|CFR|3.61%|COVID-19|CFR|COVID-19|Cross-Country Comparison of Case Fatality Rates,10.24171/j.phrp.2020.11.2.03
2020-04-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7138952/,False,,PMC7138952,,True,,Pflege Z,Wissenschaft Aktuell,,,custom_license,PERSON,PMC,no-cc,,Wissenschaft Aktuell,10.1007/s41906-020-0686-y
2020-04-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7138954/,False,,PMC7138954,,True,,Pflege Z,Forschung & Lehre,,,custom_license,ORG,PMC,no-cc,,Forschung & Lehre,10.1007/s41906-020-0689-8
2020-04-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7144505/,False,,PMC7144505,,False,"Herbst, Matthias",,Praxisalltag versus Coronavirus,,,custom_license,GPE|PERSON,PMC,no-cc,,Praxisalltag|Coronavirus,10.1007/s12634-020-1042-3
2020-04-17,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7145769/,False,,PMC7145769,,True,"Kiers, Bart",Zorgvisie,Inge Borghuis,,,custom_license,PERSON,PMC,no-cc,,Inge Borghuis,10.1007/s41187-020-0354-2
2020-04-11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7148425/,True,4392bbd0e9b8c44a244c798d69b93acea8fd0a34,PMC7148425,,True,"Pawelec, Graham; Weng, Nan-ping",Immun Ageing,Can an effective SARS-CoV-2 vaccine be developed for the older population?,"The emergence of SARS-CoV-2 and its inordinately rapid spread is posing severe challenges to the wellbeing of millions of people worldwide, health care systems and the global economy. While many younger people experience no or mild symptoms on infection, older adults are highly susceptible to life-threatening respiratory and systemic conditions which demand a full understanding and leveraging of knowledge of the differences between immunity in young and old people. Consequently, we welcome papers addressing any issues relevant to immunity and ageing in the context of SARS-CoV-2, and will endeavour to fast-track peer-review. We aim to provide a platform exclusively for discussions of individual and age differences in susceptibility and immune responses to COVID caused by SARS-CoV-2 infection and how to prevent or reduce severity of disease in older adults.",,comm_use_subset,CARDINAL,PMC,cc-by,,millions,10.1186/s12979-020-00180-2
2020-04-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149271/,False,,PMC7149271,,False,"Urbanek, Margarethe",,Entschädigung für Praxisschließung wegen Coronavirus,,,custom_license,PERSON,PMC,no-cc,,Coronavirus,10.1007/s00092-020-4115-8
2020-04-15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7149280/,False,,PMC7149280,,False,,,Coronavirus: Serviceleistungen und Informationen,,,custom_license,PERSON|ORG,PMC,no-cc,,Coronavirus|Informationen,10.1007/s41785-020-1544-2
