"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"11:56:51.3123196 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"11:56:51.3123451 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"11:56:51.3123649 AM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"11:56:51.3123926 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"11:56:51.3124007 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"11:56:51.3124171 AM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"11:56:51.3124398 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"11:56:51.3125906 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"11:56:51.3127736 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"11:56:51.3127923 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"11:56:51.3128091 AM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"11:56:51.3128326 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"11:56:51.3128398 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"11:56:51.3128552 AM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"11:56:51.3128773 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"11:56:51.3129938 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"11:56:51.3135019 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"11:56:51.3135209 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"11:56:51.3135366 AM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"11:56:51.3135589 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"11:56:51.3135653 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"11:56:51.3135790 AM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"11:56:51.3135977 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"11:56:51.3137131 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"11:56:51.3140481 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"11:56:51.3140629 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"11:56:51.3140763 AM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"11:56:51.3140947 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"11:56:51.3141003 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"11:56:51.3141121 AM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"11:56:51.3141291 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"11:56:51.3142492 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"11:56:51.3390102 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"11:56:51.3390300 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"11:56:51.3390454 AM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"11:56:51.3390680 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"11:56:51.3390744 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"11:56:51.3390870 AM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","SUCCESS","Type: REG_NONE, Length: 180, Data: 01 00 04 80 98 00 00 00 A8 00 00 00 00 00 00 00"
"11:56:51.3391046 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"11:56:51.3392513 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy","SUCCESS",""
"11:56:51.3393041 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy","SUCCESS","Desired Access: Read/Write"
"11:56:51.3393175 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
"11:56:51.3393298 AM","lsass.exe","648","RegQueryValue","HKLM\SECURITY\Policy\SecDesc\(Default)","BUFFER OVERFLOW","Length: 12"
"11:56:51.3393477 AM","lsass.exe","648","RegCloseKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS",""
"11:56:51.3393532 AM","lsass.exe","648","RegOpenKey","HKLM\SECURITY\Policy\SecDesc","SUCCESS","Desired Access: Read"
