Image,object,,
1,yellowBalloon,glassBead,
2,yellowBalloon,glassBead,
3,glassBead,,
4,glassBead,,
5,glassBead,,
6,cowbell,,
7,pumpkinNotes,rainbowPens,
8,pumpkinNotes,rainbowPens,
9,pumpkinNotes,rainbowPens,
10,rainbowPens,,
11,rainbowPens,giftBag,glassBead
12,giftBag,,
13,cowbell,yellowBalloon,glassBead
14,yellowBalloon,rainbowPens,pumpkinNotes
15,pumpkinNotes,rainbowPens,
16,rainbowPens,pumpkinNotes,
17,yellowBalloon,,
18,yellowBalloon,,
19,yellowBalloon,,
20,yellowBalloon,,
21,yellowBalloon,,
22,rainbowPens,,
23,pumpkinNotes,rainbowPens,cowbell
24,giftBag,rainbowPens,
25,none,,
