symbol_chr,RAS/CAS|L2FC,RAS/CAS|PValue,RAS/CAS|FDR,RAS/WT-O|L2FC,RAS/WT-O|PValue,RAS/WT-O|FDR,53KO/WT|L2FC,53KO/WT|PValue,53KO/WT|FDR,CAS/WT|L2FC,CAS/WT|Pvalue,CAS/WT|FDR
1-Mar_chr8,0.23,0.50399832,0.761370317,3.36,7.35E-18,9.29E-16,3.551469249,4.09E-26,3.24E-24,3.1347496,6.11E-20,6.46E-19
2-Mar_chr17,0.78,9.08E-05,0.000346308,-0.21,0.601330883,1,-0.219319988,0.208636776,0.406464807,-0.993011348,9.94E-06,3.37E-05
3-Mar_chr18,-0.10,0.513873065,0.773772841,-0.86,0.053457355,0.212331042,-2.349919948,0.002684855,0.00965253,-0.766251149,0.010514262,0.023340478
4-Mar_chr1,-1.98,0.02654757,0.061572492,0.00,1,1,0,1,1,1.979799957,0.063697879,0.120978811
5-Mar_chr19,1.09,4.2299E-08,2.5767E-07,0.47,0.017034889,0.089771159,0.322160293,0.546715663,0.859246094,-0.62251807,0.001740115,0.004395205
6-Mar_chr15,1.01,8.3525E-08,4.9155E-07,0.09,0.691343309,1,-0.64673782,4.64E-05,0.000250838,-0.922375991,6.77E-07,2.59E-06
7-Mar_chr2,-0.47,0.210562949,0.370802678,-0.20,0.477685595,0.912944206,-1.477068909,0.071463948,0.168235632,0.267927414,0.591034139,0.832967458
8-Mar_chr6,2.22,1.0094E-20,2.3506E-19,-0.24,0.32329823,0.719736715,-1.334683512,2.84E-07,2.36E-06,-2.46045735,2.08E-24,3.02E-23
9-Mar_chr10,-0.12,0.815752799,1,0.52,0.578974855,1,-0.416740442,0.101214357,0.225416545,0.639260356,0.421971786,0.63460974
10-Mar_chr11,0.00,1,1,0.00,1,1,0,0.556423738,0.863744335,0,1,1
11-Mar_chr15,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1-Sep_chr7,-3.76,1.2507E-46,1.8397E-44,1.23,1.08E-05,0.000165401,1.814066973,6.43E-16,1.80E-14,4.992616742,1.90E-66,3.84E-64
2-Sep_chr1,-0.35,0.021488868,0.051037434,0.24,0.320717864,0.716543277,0.129003785,0.521413898,0.839945781,0.598663036,0.001033814,0.002693479
3-Sep_chr15,-1.10,0.022322022,0.052797092,1.70,0.275541255,0.656282452,2.69216047,0.004744823,0.015914227,2.802982981,0.001290257,0.003319926
4-Sep_chr11,0.61,0.336234782,0.546478518,-0.07,0.294564024,0.681839435,0.418048056,0.065119144,0.15528103,-0.682464869,0.045381652,0.08894911
5-Sep_chr16,-0.03,0.304010738,0.50372234,0.81,0.011812639,0.067534006,1.140144586,4.18E-05,0.000228387,0.837560791,0.000419992,0.001159907
6-Sep_chrX,-2.36,2.5137E-16,3.7714E-15,1.60,0.006877056,0.043631664,1.351850887,6.81E-05,0.000355114,3.961377651,9.25E-25,1.37E-23
7-Sep_chr9,-1.67,2.0200E-17,3.4043E-16,0.20,0.343932415,0.744850332,0.764987269,0.000629796,0.002658274,1.868043016,9.14E-21,1.02E-19
8-Sep_chr11,-0.65,0.001353241,0.004179866,1.12,0.004904607,0.033207344,0.844013028,2.79E-05,0.000159,1.769084181,5.04E-09,2.35E-08
9-Sep_chr11,-0.77,3.01E-05,0.00012415,-0.97,7.91E-05,0.00096395,-0.978873753,0.001461694,0.005614837,-0.198851729,0.823414021,1
10-Sep_chr10,0.24,0.14506388,0.271396278,-0.28,0.220922764,0.570713787,-0.158429916,0.436336373,0.735722071,-0.520800805,0.007657614,0.017391082
11-Sep_chr5,-1.58,2.6099E-12,2.5464E-11,-0.24,0.112548395,0.365069767,0.241859745,0.168813908,0.342102828,1.346912002,5.58E-08,2.37E-07
12-Sep_chr16,-1.89,0.006913757,0.01847272,0.00,1,1,0,1,1,1.891635554,0.01791206,0.038162474
14-Sep_chr5,-1.02,0.54502385,0.797485369,0.00,0.317535776,0.713375204,0,1,1,1.018392408,0.684805755,0.941820674
15-Sep_chr3,-0.02,0.799290551,1,-0.29,0.739987867,1,-0.079048442,0.592210306,0.895476995,-0.266710581,0.938173983,1
0610007P14Rik_chr12,1.33,1.0252E-08,6.7531E-08,-0.16,0.536498304,0.968742531,-0.468172381,0.266569513,0.495844002,-1.493228407,2.93E-07,1.16E-06
0610009B22Rik_chr11,0.17,0.052794549,0.113427506,0.00,0.511073104,0.946886966,0.400308996,0.693970025,1,-0.175770359,0.203889311,0.339766786
0610009O20Rik_chr18,0.16,0.103422384,0.20283006,-0.65,0.008406619,0.051278172,-0.92259316,1.28E-06,9.47E-06,-0.805957663,2.21E-05,7.25E-05
0610010B08Rik_chr2,-0.55,0.006519446,0.017530016,0.23,0.455245336,0.885635909,1.190634729,5.11E-10,6.57E-09,0.77589459,0.00054688,0.001485969
0610010F05Rik_chr11,0.31,0.055499915,0.118593052,-0.01,0.616679214,1,0.313692237,0.952703456,1,-0.327386194,0.016324086,0.035032945
0610010K14Rik_chr11,-0.24,0.224183564,0.390410343,-0.42,0.617611119,1,0.043468692,0.784945001,1,-0.179922352,0.4787085,0.70833984
0610011F06Rik_chr17,2.70,2.8322E-28,1.2781E-26,-0.64,0.073998632,0.271355721,-0.998702526,8.11E-07,6.18E-06,-3.340357644,8.59E-36,2.73E-34
0610030E20Rik_chr6,0.49,0.009755639,0.02513537,-0.02,0.171833427,0.483550711,-0.482594595,0.01327251,0.039527826,-0.516498417,8.59E-05,0.00026222
0610037L13Rik_chr4,0.53,0.022609452,0.053398746,-0.32,0.327507509,0.725436,-0.216297084,0.235762402,0.449476474,-0.850221913,0.001194283,0.003085962
0610040J01Rik_chr5,1.85,7.9272E-22,2.0334E-20,-0.16,0.978743267,1,-0.393048981,0.008310283,0.026176603,-2.011475848,8.02E-22,9.56E-21
1110001J03Rik_chr6,0.90,0.004563047,0.012684834,-0.92,0.137942252,0.418727527,0.238574617,0.967012668,1,-1.822067078,2.05E-05,6.77E-05
1110004E09Rik_chr16,0.60,0.014385289,0.035665739,-0.29,0.461323326,0.893252508,-0.494952897,0.012991651,0.038821229,-0.895055853,0.001551828,0.003947944
1110004F10Rik_chr7,-0.22,0.192973671,0.343853352,-0.16,0.906754586,1,-0.152367151,0.373067767,0.64740852,0.061987143,0.238396563,0.391128565
1110007C09Rik_chr13,0.19,0.797032967,1,0.57,0.120209375,0.38091981,-0.032381151,0.639452889,0.95158386,0.381153093,0.070407359,0.132289111
1110008F13Rik_chr2,0.43,0.017121243,0.041660317,-0.65,0.00149799,0.012455556,0.482599126,0.308834019,0.556682122,-1.078295248,3.69E-08,1.60E-07
1110008L16Rik_chr12,0.87,3.04E-05,0.000125452,-0.41,0.098513926,0.333093719,-0.911509449,6.69E-07,5.18E-06,-1.280379103,9.90E-09,4.52E-08
1110008P14Rik_chr2,0.75,0.006864834,0.018356775,0.11,0.204911789,0.542757005,0.548013408,0.224736208,0.432320957,-0.643820384,0.152820848,0.264469172
1110012L19Rik_chrX,0.97,0.000538114,0.001786284,-0.01,0.968681382,1,-0.232875939,0.057400145,0.139304446,-0.973060669,0.000495355,0.001354359
1110017D15Rik_chr4,-0.93,0.269351531,0.455584395,0.00,1,1,1.800389781,0.079219785,0.183300258,0.928269648,0.512901021,0.752418869
1110032A03Rik_chr9,1.44,9.9245E-10,7.3313E-09,-0.53,0.178506888,0.495106824,-1.037547236,3.97E-05,0.000218089,-1.968103702,1.74E-13,1.17E-12
1110032F04Rik_chr3,-5.22,1.3197E-10,1.0761E-09,0.00,0.04642798,0.191513358,4.384578461,4.92E-07,3.91E-06,5.220963544,3.22E-13,2.11E-12
1110034G24Rik_chr2,-0.05,0.962990328,1,-0.16,0.815061163,1,0.45772274,0.093190349,0.209858887,-0.112536244,0.771425676,1
1110037F02Rik_chr4,-0.51,0.00195555,0.005855601,-0.34,0.040203949,0.172133341,-0.404955536,0.020664613,0.058112971,0.175521534,0.304236895,0.481180783
1110038F14Rik_chr15,-0.57,0.013470487,0.033618355,0.14,0.819006615,1,1.093378459,0.000116748,0.000578143,0.702236215,0.007479178,0.017012439
1110051M20Rik_chr2,-1.48,3.7295E-08,2.2869E-07,-0.29,1,1,0.189619174,0.27045993,0.50135509,1.192315951,1.00E-07,4.16E-07
1110057K04Rik_chr12,1.24,1.3911E-11,1.2628E-10,-0.25,0.113010108,0.366042497,-0.541244269,0.000846429,0.00345287,-1.495206794,1.75E-16,1.46E-15
1110058L19Rik_chr1,0.18,0.372685894,0.595126023,-0.19,0.620532203,1,0.963861185,0.008049012,0.025462988,-0.372834282,0.695026116,0.952326332
1110059E24Rik_chr19,0.09,0.39842939,0.628615006,0.18,0.065546507,0.247489981,0.680011152,0.006224724,0.020266545,0.093689418,0.316147465,0.4977486
1110059G10Rik_chr9,0.10,0.469315189,0.718882481,0.18,0.103416326,0.344325991,0.275643589,0.262611895,0.489970135,0.075843815,0.362923249,0.555621628
1110065P20Rik_chr4,0.62,0.061983536,0.130243885,-0.33,0.560387458,0.986920622,0.597725874,0.317841388,0.570264329,-0.957855219,0.014751198,0.031918456
1190002N15Rik_chr9,1.19,8.9206E-09,5.9250E-08,0.40,0.088442969,0.308204319,-0.086483671,0.406329159,0.695213845,-0.789769256,4.54E-05,0.00014333
1190003K10Rik_chr13,0.00,1,1,0.00,1,1,0,1,1,0,1,1
1190005I06Rik_chr8,1.87,4.9207E-12,4.6525E-11,0.23,0.316771172,0.712658474,0.315039167,0.684646776,1,-1.646097717,3.27E-09,1.55E-08
1190007I07Rik_chr10,0.70,0.025172474,0.058723982,-0.35,0.859795106,1,0.630014684,0.142037406,0.298782523,-1.051172682,0.040754958,0.080635556
1200014J11Rik_chr11,-0.61,0.013259556,0.0331703,-0.36,0.026315926,0.125529991,-0.50947267,0.032925385,0.086716448,0.253123924,0.814687262,1
1300017J02Rik_chr9,1.76,9.4431E-18,1.6390E-16,-0.49,0.145597188,0.435175572,-1.029820656,2.21E-08,2.20E-07,-2.243342262,4.43E-23,5.76E-22
