id,P53KO-O1,p53KO-O2,p53KO-O-CAS1,p53KO-O-CAS2,p53KO-O-RAS1,p53KO-O-RAS2,WT-O1,WT-O2,pc_P53KO-O1,pc_p53KO-O2,pc_p53KO-O-CAS1,pc_p53KO-O-CAS2,pc_p53KO-O-RAS1,pc_p53KO-O-RAS2,pc_WT-O1,pc_WT-O2,logFC,logCPM,PValue,FDR
chr8_41699,585,1034,806,746,1166,390,44,30,760.7989543,1076.462138,606.4730377,650.9367023,654.0645017,364.3300127,63.59467265,44.94801015,0.547543794,3.031491655,0.044589372,0.107061056
chr17_41700,2631,3108,2833,2821,6063,4350,2778,2790,3418.251874,3235.952113,2131.912314,2461.440766,3391.180689,4066.547034,4059.817286,4109.718167,0.534697974,5.69024335,0.046465192,0.110766318
chr18_41701,6,26,34,24,42,34,30,42,8.546208775,26.95523342,25.74200155,20.84074155,22.96250685,31.86024739,44.51880211,61.21173989,-0.363177213,-1.063893719,0.4087555,0.649983841
chr1_41702,0,0,6,2,0,0,0,0,1.39E-17,1.39E-17,4.67398864,1.654323721,1.39E-17,1.39E-17,1.39E-17,1.39E-17,-4.811490893,-4.51899884,0.018499845,0.050331879
chr19_41703,4778,4921,4569,4307,12117,8463,3466,3879,6207.453062,5123.619536,3438.565309,3757.921659,6778.017582,7911.447063,5065.612445,5713.457858,0.654863202,6.401507386,0.014656315,0.041365416
chr15_41704,2818,3343,4285,3969,10723,8323,4002,5047,3661.222254,3480.624004,3224.850992,3463.000756,5997.856073,7780.623754,5849.303437,7433.521869,0.094733014,6.29576326,0.723695263,0.967565438
chr2_41705,210,646,1293,1096,1160,696,529,571,274.4455014,672.3425866,973.154771,956.2312586,648.8871118,650.6301731,773.3833148,840.8517355,-1.024389973,3.479776666,0.000186092,0.000849286
chr6_41706,2100,3505,1771,1762,10299,7210,4804,5342,2729.077987,3649.18885,1332.627431,1537.463648,5760.977081,6740.119244,7020.930148,7868.505209,1.152172114,6.136941018,2.19E-05,0.000120034
chr10_41707,16,16,64,53,73,45,20,28,20.63159422,16.68517424,48.1948087,46.20669582,40.73995383,42.07060389,29.79164813,40.71186869,-1.34068058,-0.765950208,0.000732687,0.002919563
chr11_41708,0,2,0,0,0,0,0,0,0.068482259,2.067468923,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,3.417833472,-4.926725405,0.504205375,0.736850985
chr15_41709,0,0,0,0,0,0,0,0,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0,-5.098830529,1,1
chr7_41883,396,633,6610,5703,598,255,101,72,515.0325912,658.9874505,4974.831925,4975.84605,335.5200084,238.2296126,146.772696,106.9373994,-3.082561467,4.527916366,2.19E-26,1.00E-24
chr1_41884,4235,5559,10795,10019,10503,6498,3512,3824,5502.491122,5787.809236,8124.437275,8741.616307,5875.490518,6074.467981,5132.745884,5632.537971,-0.5790169,6.611139022,0.030608666,0.077755593
chr15_41885,20,22,40,33,22,14,2,8,25.88907452,22.92470576,30.12681823,28.75908906,12.20160309,13.09257094,3.50544416,11.12549677,-0.274359802,-1.640013882,0.543165574,0.781197401
chr11_41886,855,1009,734,717,1388,575,580,524,1110.770496,1050.552461,552.1922511,625.6832202,777.6078692,537.3533603,847.3393347,772.2083167,0.87560368,3.59241222,0.001342748,0.004992075
chr16_41887,150,200,225,237,270,147,61,55,195.0380875,208.2186966,169.0071518,206.9387814,151.2687066,137.3742715,88.96008136,81.27895503,0.101913435,1.277077469,0.733350161,0.975403866
chrX_41888,196,391,2207,2324,526,209,69,111,255.5596736,406.9675662,1660.673177,2027.861556,295.4366513,195.2022472,102.0546808,162.2334296,-2.474761393,3.308029299,5.88E-18,1.35E-16
chr9_41889,3070,3832,12141,11745,4737,3373,1638,1918,3988.746463,3989.737184,9137.397102,10247.58724,2649.408371,3153.224505,2394.337278,2824.71483,-1.280727411,6.205458725,2.33E-06,1.51E-05
chr11_41890,384,709,1341,1052,1052,347,193,152,499.7181099,738.0734909,1009.418958,917.771402,590.3219195,324.1289571,281.4010653,224.6142124,-0.637900423,3.149672776,0.019187053,0.051916326
chr11_41891,2579,3726,8152,7385,5948,3449,4610,3433,3351.124969,3879.329737,6135.29217,6443.433508,3327.520904,3224.172264,6736.059439,5057.869233,-0.798755581,6.195873772,0.002966001,0.010099772
chr10_41892,647,799,925,720,1359,877,655,679,840.6225221,831.8951253,696.3386995,628.0960982,759.9857053,819.8666433,957.390504,1000.071627,0.3364222,3.651281411,0.21659157,0.394869698
chr5_41893,642,981,2543,2195,1052,612,492,555,834.5693659,1021.323834,1913.904207,1915.123193,588.5652904,572.0911187,719.4503441,817.1363632,-1.044508486,4.01349008,0.00012359,0.000587648
chr16_41894,0,0,6,4,0,0,0,0,1.39E-17,1.39E-17,4.556019882,3.447146735,1.39E-17,1.39E-17,1.39E-17,1.39E-17,-5.126597079,-4.403394416,0.00519454,0.016613238
chr5_41896,0,2,2,0,0,0,0,2,0.068482259,2.067468923,1.588056072,0,1.39E-17,1.39E-17,0.122176426,2.721424077,0.45824434,-4.633761669,1,1
chr3_41897,11993,12832,19383,21088,23706,18156,11489,10554,15581.68065,13360.24339,14587.7041,18399.44887,13260.90181,16972.69819,16789.67112,15546.53867,-0.188749596,7.901846819,0.47916508,0.73484154
chr12_0610007P14Rik,3610,4510,3265,3180,10233,7274,4529,3360,4690.347504,4695.644939,2457.084819,2774.646866,5724.007612,6799.955122,6617.674124,4950.350824,0.843209353,6.216646667,0.0017391,0.006295967
chr11_0610009B22Rik,1359,1320,1678,1494,2358,2146,934,1143,1765.16831,1374.409789,1262.828246,1303.530613,1317.818725,2006.318888,1365.653488,1682.979275,0.290600462,4.537576933,0.280857664,0.482347939
